Name,SMILES,Senolytic,MaxAbsEStateIndex,MaxEStateIndex,MinAbsEStateIndex,MinEStateIndex,qed,SPS,MolWt,HeavyAtomMolWt,ExactMolWt,NumValenceElectrons,NumRadicalElectrons,FpDensityMorgan1,FpDensityMorgan2,FpDensityMorgan3,AvgIpc,BalabanJ,BertzCT,Chi0,Chi0n,Chi0v,Chi1,Chi1n,Chi1v,Chi2n,Chi2v,Chi3n,Chi3v,Chi4n,Chi4v,HallKierAlpha,Ipc,Kappa1,Kappa2,Kappa3,LabuteASA,PEOE_VSA1,PEOE_VSA10,PEOE_VSA11,PEOE_VSA12,PEOE_VSA13,PEOE_VSA14,PEOE_VSA2,PEOE_VSA3,PEOE_VSA4,PEOE_VSA5,PEOE_VSA6,PEOE_VSA7,PEOE_VSA8,PEOE_VSA9,SMR_VSA1,SMR_VSA10,SMR_VSA2,SMR_VSA3,SMR_VSA4,SMR_VSA5,SMR_VSA6,SMR_VSA7,SMR_VSA8,SMR_VSA9,SlogP_VSA1,SlogP_VSA10,SlogP_VSA11,SlogP_VSA12,SlogP_VSA2,SlogP_VSA3,SlogP_VSA4,SlogP_VSA5,SlogP_VSA6,SlogP_VSA7,SlogP_VSA8,SlogP_VSA9,TPSA,EState_VSA1,EState_VSA10,EState_VSA11,EState_VSA2,EState_VSA3,EState_VSA4,EState_VSA5,EState_VSA6,EState_VSA7,EState_VSA8,EState_VSA9,VSA_EState1,VSA_EState10,VSA_EState2,VSA_EState3,VSA_EState4,VSA_EState5,VSA_EState6,VSA_EState7,VSA_EState8,VSA_EState9,FractionCSP3,HeavyAtomCount,NHOHCount,NOCount,NumAliphaticCarbocycles,NumAliphaticHeterocycles,NumAliphaticRings,NumAromaticCarbocycles,NumAromaticHeterocycles,NumAromaticRings,NumHAcceptors,NumHDonors,NumHeteroatoms,NumRotatableBonds,NumSaturatedCarbocycles,NumSaturatedHeterocycles,NumSaturatedRings,RingCount,MolLogP,MolMR,fr_Al_COO,fr_Al_OH,fr_Al_OH_noTert,fr_ArN,fr_Ar_COO,fr_Ar_N,fr_Ar_NH,fr_Ar_OH,fr_COO,fr_COO2,fr_C_O,fr_C_O_noCOO,fr_C_S,fr_HOCCN,fr_Imine,fr_NH0,fr_NH1,fr_NH2,fr_N_O,fr_Ndealkylation1,fr_Ndealkylation2,fr_Nhpyrrole,fr_SH,fr_aldehyde,fr_alkyl_carbamate,fr_alkyl_halide,fr_allylic_oxid,fr_amide,fr_amidine,fr_aniline,fr_aryl_methyl,fr_azide,fr_azo,fr_barbitur,fr_benzene,fr_benzodiazepine,fr_bicyclic,fr_diazo,fr_dihydropyridine,fr_epoxide,fr_ester,fr_ether,fr_furan,fr_guanido,fr_halogen,fr_hdrzine,fr_hdrzone,fr_imidazole,fr_imide,fr_isocyan,fr_isothiocyan,fr_ketone,fr_ketone_Topliss,fr_lactam,fr_lactone,fr_methoxy,fr_morpholine,fr_nitrile,fr_nitro,fr_nitro_arom,fr_nitro_arom_nonortho,fr_nitroso,fr_oxazole,fr_oxime,fr_para_hydroxylation,fr_phenol,fr_phenol_noOrthoHbond,fr_phos_acid,fr_phos_ester,fr_piperdine,fr_piperzine,fr_priamide,fr_prisulfonamd,fr_pyridine,fr_quatN,fr_sulfide,fr_sulfonamd,fr_sulfone,fr_term_acetylene,fr_tetrazole,fr_thiazole,fr_thiocyan,fr_thiophene,fr_unbrch_alkane,fr_urea
Azaguanine-8,Nc1nc2[nH]nnc2c(=O)[nH]1,0,10.962592592592593,10.962592592592593,0.04958333333333376,-0.3877314814814812,0.4303161239320503,10.545454545454545,152.11700000000002,148.085,152.044658748,56,0,1.4545454545454546,2.272727272727273,3.090909090909091,2.337841088205032,3.024307136383607,441.02416352868136,7.8449349826912425,5.3272393461533625,5.3272393461533625,5.270856947829096,2.83722647082666,2.83722647082666,1.9601849495278452,1.9601849495278452,1.2191377206601814,1.2191377206601814,0.7774965332465049,0.7774965332465049,-1.92,514.325039405107,5.834283194759385,1.781046232647806,0.7407831621720292,59.63913992989844,5.733667477162185,0.0,11.16387793838399,5.948339280986494,5.559266895052007,0.0,9.77851570501903,5.098681808301038,4.9839785209472085,5.098681808301038,5.213385095654868,0.0,0.0,0.0,0.0,17.112217219370486,0.0,25.37870575415136,0.0,0.0,5.733667477162185,10.35380407912383,0.0,0.0,11.29293437221419,5.948339280986494,0.0,0.0,25.37870575415136,0.0,0.0,0.0,4.794537184071822,0.0,11.16387793838399,0.0,113.34,0.0,4.794537184071822,0.0,17.02430689365476,5.647177220767728,0.0,0.0,0.0,0.0,25.37870575415136,5.733667477162185,0.0,0.0,16.988611111111112,9.311157407407407,5.317314814814815,0.04958333333333376,0.0,0.0,0.0,0.0,0.0,11,4,7,0,0,0,0,2,2,5,3,7,0,0,0,0,2,-1.3766000000000003,36.71679999999999,0,0,0,1,0,5,2,0,0,0,0,0,0,0,0,3,2,1,0,0,0,2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Allantoin,NC(=O)NC1NC(=O)NC1=O,0,10.655462962962963,10.655462962962963,0.6168518518518515,-1.0416666666666672,0.32513814859281254,22.363636363636363,158.117,152.069,158.043990052,60,0,1.5454545454545454,2.1818181818181817,2.5454545454545454,2.093514055974219,2.534438673083989,225.37706033746232,8.430721420318147,5.379445409770841,5.379445409770841,5.092224152875015,2.767072974075046,2.767072974075046,1.9043135219412242,1.9043135219412242,1.060947935534441,1.060947935534441,0.6606811890858992,0.6606811890858992,-1.7899999999999998,278.4373694445711,7.318577633007602,2.4457274127083553,1.567971633896103,61.302289765458276,16.367244685174846,0.0,6.165775612134527,0.0,5.907179729351506,12.062229024676144,10.111325788078153,9.589074368143644,0.0,0.0,0.0,0.0,0.0,0.0,14.383611552215466,17.96940875402765,0.0,15.950365812018994,5.733667477162185,6.165775612134527,0.0,0.0,0.0,0.0,21.684033289181176,9.589074368143644,0.0,0.0,24.135184366162175,4.794537184071822,0.0,0.0,0.0,0.0,0.0,0.0,113.32,24.135184366162175,14.383611552215466,0.0,0.0,0.0,0.0,0.0,0.0,10.633577208012662,5.316788604006331,5.733667477162185,0.0,0.0,31.252983749055176,6.053148148148148,4.6985903250188965,-0.6168518518518515,-1.5128703703703703,-1.0416666666666672,0.0,0.0,0.25,11,5,7,0,1,1,0,0,0,3,4,7,1,0,1,1,1,-2.1798,33.18149999999999,0,0,0,0,0,0,0,0,0,0,3,3,0,0,0,0,3,1,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2
Acetazolamide,CC(=O)Nc1nnc(S(N)(=O)=O)s1,0,10.704977796674225,10.704977796674225,0.1078935185185188,-3.824175170068027,0.6318586926732331,11.23076923076923,222.251,216.203,221.988132052,72,0,1.5384615384615385,2.1538461538461537,2.5384615384615383,2.32016080547215,2.938691458826851,422.35246826398924,10.060477932315068,6.513018912508858,8.14601207436431,5.892865415757243,3.0327457701565326,5.395561829005821,2.0993176423790123,4.811973693691262,0.9328171861807086,3.0815095121098466,0.5258473654376647,1.9053602623835681,-1.06,682.1272768088121,10.023752093802344,3.3584989230794076,2.7167362781176934,78.02145102207903,5.316788604006331,0.0,0.0,15.378393889864384,10.023291153407584,0.0,4.794537184071822,13.556770721936878,0.0,10.197363616602075,11.336785877934737,0.0,6.923737199690624,0.0,13.212334168400758,32.39881524053316,0.0,10.197363616602075,5.138973737607942,11.263392880364169,5.316788604006331,0.0,0.0,0.0,10.455762341614273,5.131558479839333,0.0,11.336785877934737,24.522340330282518,14.817828337479405,0.0,6.923737199690624,4.339655680673546,0.0,0.0,0.0,115.03999999999999,10.023291153407584,13.212334168400758,0.0,15.378393889864384,11.336785877934737,0.0,6.923737199690624,0.0,0.0,15.514152220608405,5.138973737607942,21.087038926681785,0.7010185185185183,10.519172808012094,13.841021825396826,0.0,-0.34988945578231223,0.0,0.0,1.2758125472411188,-3.824175170068027,0.25,13,3,7,0,0,0,0,1,1,6,2,9,2,0,0,0,1,-0.8561000000000003,45.58590000000001,0,0,0,0,0,2,0,0,0,0,1,1,0,0,0,2,1,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
Metformin hydrochloride,CN(C)C(=N)NC(=N)N,0,7.067777777777778,7.067777777777778,0.11342592592592626,-0.2141666666666664,0.24878483893146577,8.222222222222221,129.167,118.07900000000001,129.10144535199998,52,0,1.4444444444444444,1.8888888888888888,2.0,1.634374150092862,3.6444856791101587,126.919684538544,7.439157588755425,5.5245638646895845,5.5245638646895845,4.036581260209188,2.406709123344708,2.406709123344708,1.781709123344708,1.781709123344708,0.7002840785861559,0.7002840785861559,0.2393635016364836,0.2393635016364836,-1.26,60.47184355343589,7.739999999999999,2.9071056558917943,3.33347181008902,53.85436592037309,10.633577208012664,0.0,11.91910913748767,0.0,0.0,0.0,16.135355815589374,0.0,0.0,0.0,0.0,0.0,14.09534396535438,0.0,0.0,11.91910913748767,10.818567211583044,10.216698334856808,5.733667477162185,0.0,14.09534396535438,0.0,0.0,0.0,11.050456081168516,0.0,0.0,0.0,30.91436283369253,0.0,10.818567211583044,0.0,0.0,0.0,0.0,0.0,88.99000000000001,0.0,0.0,0.0,11.91910913748767,0.0,0.0,4.899909730850478,14.09534396535438,0.0,5.316788604006331,16.55223468874523,0.0,0.0,1.5152777777777777,16.0975,4.935833333333333,-0.10074074074074013,0.0,0.0,0.0,3.385462962962963,0.5,9,5,5,0,0,0,0,0,0,2,4,5,0,0,0,0,0,-1.034159999999999,36.46349999999999,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Atracurium besylate,COc1ccc(CC2c3cc(OC)c(OC)cc3CC[N+]2(C)CCC(=O)OCCCCCOC(=O)CC[N+]2(C)CCc3cc(OC)c(OC)cc3C2Cc2ccc(OC)c(OC)c2)cc1OC,0,13.199901200492214,13.199901200492214,0.039344487841705744,-0.21507192095330985,0.038349396136230826,19.55223880597015,929.161,856.5849999999997,928.50742858418,364,0,0.4626865671641791,0.8059701492537313,1.164179104477612,3.3512220840776332,0.9870399762005821,2158.8365944094585,48.14104218694238,41.328211624639955,41.328211624639955,32.350227161872354,23.26919838410594,23.26919838410594,17.9853724740731,17.9853724740731,14.019868456705902,14.019868456705902,9.910317397093593,9.910317397093593,-5.86,385140155085402.4,50.55031902254603,23.238054717191165,12.003057148158991,396.572451556886,56.334691253389735,12.083681658295921,45.99609466627124,0.0,0.0,11.938610575903699,9.589074368143644,0.0,0.0,0.0,12.13273413692322,90.04720738325891,36.81018947509803,123.20815709410279,65.92376562153338,11.938610575903699,0.0,0.0,0.0,69.87107626463002,110.36651384825076,94.0443796347981,0.0,45.99609466627124,37.89490363040039,0.0,45.99609466627124,0.0,131.27118613954372,44.74608676744778,0.0,77.56849872310795,60.6636706846161,0.0,0.0,0.0,126.44000000000004,0.0,9.589074368143644,0.0,24.02229223419962,106.94871961421552,56.320523909849186,22.253805966787983,56.87838033022025,24.26546827384644,50.49354637612404,47.36862953800049,57.84100926829808,0.0,26.399802400984427,0.0,7.00322668222746,5.057629681980826,20.493156427724983,5.851326282901795,3.5733710841673103,17.61381150504847,0.5094339622641509,67,0,14,0,2,2,4,0,4,12,0,14,24,0,0,0,6,8.06550000000001,255.3217999999991,0,0,0,0,0,0,0,0,0,0,2,2,0,0,0,2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,2,0,0,0,2,10,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,4,0
Isoflupredone acetate,CC(=O)OCC(=O)C1(O)CCC2C3CCC4=CC(=O)C=CC4(C)C3(F)C(O)CC21C,0,16.884033448664127,16.884033448664127,0.08568003590325013,-1.997378892143277,0.6793070532025509,47.06666666666667,420.47700000000015,391.2450000000002,420.19481686800003,164,0,1.2666666666666666,1.9666666666666666,2.6333333333333333,2.9350178090259913,1.719118298314726,878.9191088442824,22.11251969619286,17.61212712812164,17.61212712812164,13.898355138210116,10.602310682119334,10.602310682119334,9.867111747376406,9.867111747376406,8.660931844665305,8.660931844665305,6.959947596231628,6.959947596231628,-1.86,3774972.9456842854,21.375021650003774,6.56716472164551,2.509378214036376,174.71756130302595,14.94991774348146,5.601050810983688,18.058886729623534,5.783244946364939,0.0,5.969305287951849,14.383611552215466,4.39041504767482,0.0,0.0,18.572861836593773,57.097791574149824,23.671624184645577,6.103966387748303,33.72394434337174,17.535795180681728,0.0,0.0,22.665793031116348,70.24909673117958,6.606881964512918,23.80116485057091,0.0,0.0,0.0,4.39041504767482,0.0,0.0,51.72950895235372,19.120474506015512,22.665793031116348,52.87531971370191,23.80116485057091,0.0,0.0,0.0,100.90000000000002,52.48109620126232,24.596666341896878,4.39041504767482,24.542794238378352,24.835569398847298,0.0,19.075777413358384,19.92349450621513,0.0,0.0,4.736862953800049,21.70652707491145,0.0,35.822786520241024,22.555303475167744,-5.230096638020068,-2.279965190908778,0.0,4.467542217752215,4.124569207523075,0.0,0.6956521739130435,30,2,6,4,0,4,0,0,0,6,2,7,3,3,0,3,4,2.2205000000000004,104.94460000000004,0,2,1,0,0,0,0,0,0,0,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,1,4,0,0,0,0,0,0,0,0,0,5,0,0,0,1,1,0,0,1,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Amprolium hydrochloride,CCCc1ncc(C[n+]2ccccc2C)c(N)n1,0,5.985117157974301,5.985117157974301,0.5872250566893427,0.5872250566893427,0.8307832525292119,10.555555555555555,243.334,224.182,243.16042302808998,94,0,1.3333333333333333,2.1666666666666665,2.8333333333333335,2.353963426989808,2.221076988239577,537.0672427020315,12.957819157813608,10.927062745197274,10.927062745197274,8.702708600407233,6.257291702668611,6.257291702668611,4.41662969208119,4.41662969208119,2.9297995506034002,2.9297995506034002,1.8467842798902538,1.8467842798902538,-1.9699999999999998,13591.784827439153,12.485967138919989,5.578101939568338,2.826522394961489,107.5220140239916,5.733667477162185,11.642267275834955,18.435527972374114,0.0,0.0,0.0,0.0,9.967957041894417,4.567099647791355,0.0,12.990104268152233,6.4208216229260096,31.67413653115293,5.563451491696996,4.567099647791355,5.817862777835028,0.0,9.967957041894417,0.0,33.23387405114585,5.733667477162185,47.67457233315636,0.0,0.0,10.30076712495354,5.817862777835028,0.0,0.0,9.967957041894417,12.965578028838586,6.923737199690624,30.42634280716202,30.59278834861098,0.0,0.0,0.0,55.68,0.0,0.0,0.0,0.0,12.362619183747604,24.229499235548943,5.693927994848461,0.0,24.52642128014937,34.44889815752863,5.733667477162185,2.133479544595616,0.0,8.69268046107332,0.0,8.14130955005459,1.414570998152348,6.105195366535554,5.78651990599321,4.89291084026203,0.0,0.35714285714285715,18,2,4,0,0,0,0,2,2,3,1,4,4,0,0,0,2,1.6555199999999999,70.91540000000003,0,0,0,1,0,3,0,0,0,0,0,0,0,0,0,3,0,1,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
Hydrochlorothiazide,NS(=O)(=O)c1cc2c(cc1Cl)NCNS2(=O)=O,0,11.633653628117914,11.633653628117914,0.014269731040564393,-4.0691038359788365,0.6544582690300507,18.235294117647058,297.74500000000006,289.68100000000004,296.9644754159999,94,0,1.3529411764705883,2.0,2.588235294117647,2.134849960768007,2.7904937240424075,683.3155123780438,12.844934982691244,8.26661180454783,10.655533912421737,7.716162047958507,4.31553091882839,7.7229781173535725,3.325126454001831,6.99754663865525,2.1711652179249317,4.987914405774952,1.4173284469978171,3.7023527323273178,-0.8700000000000001,4303.857520908302,12.583385378594171,3.8175416799939437,2.2392150460713234,103.05494715630499,5.316788604006331,9.79096695103555,0.0,20.046582306815168,0.0,0.0,0.0,21.974567706265816,4.722094864452088,0.0,11.600939890232516,12.13273413692322,0.0,17.37871077732403,16.835593968657875,37.33490847173125,0.0,4.722094864452088,5.138973737607942,9.79096695103555,11.985479792905473,17.155367450664546,0.0,0.0,15.17785720606636,5.687386274683562,0.0,11.600939890232516,23.504285157557018,20.046582306815168,0.0,0.0,21.92370108795877,5.022633313741326,0.0,0.0,118.35999999999999,24.942065782332943,16.835593968657875,0.0,22.274194252841806,0.0,6.06636706846161,6.06636706846161,0.0,0.0,10.038883468458419,16.73991362784046,47.87880810657597,5.7245570357772735,-0.6211419753086411,7.529964332955405,0.23717592592592607,0.0,2.1493209876543213,0.0,0.014269731040564393,-7.8018430335097,0.14285714285714285,17,4,7,0,1,1,1,0,1,5,3,10,1,0,0,0,2,-0.35129999999999967,61.63640000000001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0
Sulfaguanidine,N=C(N)NS(=O)(=O)c1ccc(N)cc1,0,11.381131897203325,11.381131897203325,0.015648148148148744,-3.731388888888888,0.2992027059784887,10.857142857142858,214.25,204.16999999999996,214.05244656,76,0,1.2857142857142858,1.7857142857142858,2.2142857142857144,2.0192017449044517,3.047486126365013,437.2625285893112,10.767584713501616,7.1888464865293455,8.005343067457071,6.41552078507628,3.6402990980327417,5.123462345627133,2.5882095886329037,4.270611830042419,1.4347218903200591,2.8161317992475894,0.8506631752064354,1.752417034207456,-1.7599999999999998,944.9864166152834,10.32169934640523,3.5425546321945207,2.361749127986134,81.47211570320692,11.46733495432437,0.0,5.959554568743835,0.0,10.023291153407584,0.0,5.409283605791522,13.139891848781026,0.0,0.0,0.0,24.26546827384644,5.687386274683562,4.895483475517775,8.417796984328938,21.670231996834982,5.409283605791522,4.722094864452088,5.733667477162185,4.895483475517775,5.733667477162185,24.26546827384644,0.0,0.0,16.189429818776457,5.687386274683562,0.0,0.0,14.377351553072772,10.023291153407584,5.409283605791522,0.0,29.160951749364212,0.0,0.0,0.0,122.05999999999999,15.982845722151419,8.417796984328938,0.0,4.895483475517775,5.687386274683562,0.0,24.26546827384644,0.0,4.722094864452088,0.0,16.876618560115894,24.60961451247165,0.0,0.015648148148148744,6.804308547493071,10.767774313429076,-0.6233101851851843,5.57402021919879,0.0,0.0,-3.731388888888888,0.0,14,6,6,0,0,0,1,0,1,4,4,7,2,0,0,0,1,-0.5594299999999999,53.09,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
Meticrane,Cc1cc2c(cc1S(N)(=O)=O)S(=O)(=O)CCC2,0,11.82784863945578,11.82784863945578,0.06261904761904757,-3.881603835978836,0.8003885936637201,18.705882352941178,275.35100000000006,262.24699999999996,275.02859989600006,94,0,1.2941176470588236,1.9411764705882353,2.5294117647058822,2.134849960768007,2.790493724042408,674.5026033857368,12.844934982691242,9.3028608939117,10.935854055767152,7.716162047958507,5.107546281093383,8.3061309853351,4.1928624648023165,7.800277855404762,2.8588405871439275,5.788011074067242,2.083209181676661,4.549794811514587,-0.9200000000000002,4303.857520908302,12.534672597337776,3.7915120818824515,2.221353402102757,100.61140539476854,0.0,0.0,9.837253136417502,10.023291153407584,0.0,0.0,0.0,21.974567706265816,0.0,0.0,6.06636706846161,36.95865049739824,0.0,15.54382055778234,16.835593968657875,19.860544289825086,0.0,0.0,5.138973737607942,29.556347396578193,5.752853606746789,23.259637120317212,0.0,0.0,5.138973737607942,0.0,0.0,0.0,22.588447575404665,26.281365912751095,6.923737199690624,17.547724606320003,21.92370108795877,0.0,0.0,0.0,94.30000000000001,19.860544289825086,16.835593968657875,0.0,15.54382055778234,23.968546229246012,0.0,6.06636706846161,12.990104268152233,0.0,0.0,5.138973737607942,46.32266298185941,0.0,9.259259259297714e-05,5.05670989229025,1.170833333333334,0.06261904761904757,2.7919444444444443,1.2259894652305365,1.6123493008314436,-7.243201058201058,0.4,17,2,5,0,1,1,1,0,1,4,1,7,1,0,0,0,2,0.36232000000000025,62.92600000000002,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0
